-0,837297
-0,783829
-0,721376
-0,650485
-0,571783
-0,485972
-0,393821
-0,296160
-0,193868
-0,087869
0,020880
0,131399
0,242694
0,353765
0,463620
0,571282
0,675800
0,776255
0,871777
0,961545
1,044802
1,120856
1,189095
1,248985
1,300081
1,342030
1,374571
1,397543
1,410884
1,414633
1,408924
1,393995
1,370175
1,337888
1,297646
1,250042
1,195748
1,135507
1,070124
1,000459
0,927418
0,851945
0,775012
0,697609
0,620733
0,545382
0,472541
0,403172
0,338209
0,278542
0,225015
0,178413
0,139454
0,108784
0,086973
0,074500
0,071760
0,079051
0,096576
0,124437
0,162640
0,211088
0,269586
0,337845
0,415477
0,502008
0,596878
0,699445
0,808997
0,924753
1,045874
1,171475
1,300622
1,432358
1,565696
1,699643
1,833198
1,965373
2,095191
2,221708
2,344013
2,461244
2,572588
2,677299
2,774701
2,864190
2,945251
3,017451
3,080452
3,134013
3,177988
3,212331
3,237096
3,252439
3,258608
3,255953
3,244910
3,226006
3,199847
3,167120
3,128576
3,085031
3,037353
2,986456
2,933288
2,878827
2,824061
2,769993
2,717614
2,667910
2,621837
2,580322
2,544249
2,514453
2,491706
2,476717
2,470118
2,472465
2,484223
2,505770
2,537389
2,579266
2,631488
2,694041
2,766814
2,849596
2,942079
3,043862
3,154456
3,273285
3,399698
3,532968
3,672306
3,816863
3,965745
4,118015
4,272709
4,428839
4,585409
4,741420
4,895885
5,047834
5,196324
5,340455
5,479371
5,612270
5,738417
5,857148
5,967874
6,070092
6,163386
6,247435
6,322011
6,386987
6,442333
6,488121
6,524520
6,551799
6,570321
6,580536
6,582987
6,578294
6,567155
6,550332
6,528649
6,502984
6,474258
6,443424
6,411460
6,379361
6,348128
6,318750
6,292209
6,269457
6,251417
6,238962
6,232917
6,234046
6,243045
6,260533
6,287050
6,323050
6,368892
6,424845
6,491076
6,567658
6,654560
6,751652
6,858707
6,975404
7,101325
7,235965
7,378737
7,528973
7,685940
7,848835
8,016802
8,188939
8,364305
8,541929
8,720823
